City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,46.24,87,75,8.05,SJ,1691446402
1,carnarvon,-24.8667,113.6333,67.1,81,9,4.09,AU,1691446406
2,hermosillo,29.0667,-110.9667,106.2,34,40,8.01,MX,1691446373
3,aasiaat,68.7098,-52.8699,39.27,74,16,8.14,GL,1691446472
4,namibe,-15.1961,12.1522,64.22,88,47,4.92,AO,1691446472
5,la mira,18.035,-102.3266,90.81,57,7,12.01,MX,1691446472
6,muhos,64.808,25.9931,74.98,84,41,12.33,FI,1691446472
7,grytviken,-54.2811,-36.5092,20.57,82,67,9.84,GS,1691446398
8,papatowai,-46.5619,169.4708,41.61,82,100,14.63,NZ,1691446472
9,port lincoln,-34.7333,135.8667,49.53,77,0,9.19,AU,1691446399
10,san pedro pochutla,15.7333,-96.4667,94.71,58,21,7.65,MX,1691446472
11,olonkinbyen,70.9221,-8.7187,39.67,79,3,4.81,SJ,1691446473
12,blackmans bay,-43.0167,147.3167,44.53,92,27,5.84,AU,1691446473
13,myitkyina,25.3833,97.4,74.84,100,100,0.85,MM,1691446473
14,punta arenas,-53.15,-70.9167,35.2,86,100,5.03,CL,1691446473
15,thompson,55.7435,-97.8558,66.36,59,75,8.05,CA,1691446473
16,tiksi,71.6872,128.8694,46.85,61,58,3.89,RU,1691446473
17,yellowknife,62.456,-114.3525,68.56,45,40,10.36,CA,1691446347
18,zheleznogorsk-ilimskiy,56.5768,104.1217,57.47,96,35,2.39,RU,1691446473
19,san lorenzo,-25.3333,-57.5333,76.14,73,75,17.27,PY,1691446473
20,edd,13.9297,41.6925,92.34,56,64,7.14,ER,1691446473
21,hasaki,35.7333,140.8333,82.8,86,97,7.87,JP,1691446473
22,adamstown,-25.066,-130.1015,68.99,73,71,7.63,PN,1691446473
23,acarau,-2.8856,-40.12,78.8,79,43,20.85,BR,1691446310
24,gadzhiyevo,69.2551,33.3362,58.57,70,95,9.64,RU,1691446473
25,invercargill,-46.4,168.35,43.02,81,84,7.0,NZ,1691446211
26,mogocha,53.7333,119.7667,58.15,71,73,1.79,RU,1691446473
27,castillos,-34.1667,-53.8333,46.71,73,0,9.84,UY,1691446474
28,robore,-18.3333,-59.75,87.44,34,33,6.82,BO,1691446474
29,saipan,15.1355,145.701,81.3,100,75,0.0,MP,1691446474
30,bethel,41.3712,-73.414,77.85,85,100,9.22,US,1691446474
31,isafjordur,66.0755,-23.124,53.53,62,45,2.89,IS,1691446474
32,princeville,45.7668,-61.2985,66.54,82,40,11.5,CA,1691446474
33,berezovo,63.9381,65.0419,63.45,90,0,11.18,RU,1691446474
34,bilibino,68.0546,166.4372,42.44,72,64,4.12,RU,1691446474
35,kodiak,57.79,-152.4072,60.31,88,100,12.66,US,1691446303
36,bella union,-30.2752,-57.6007,57.18,51,0,11.72,UY,1691446474
37,borba,-4.3878,-59.5939,88.93,44,96,2.95,BR,1691446474
38,sitangkai,4.6628,119.3928,83.57,74,47,12.08,PH,1691446474
39,port elizabeth,-33.918,25.5701,57.49,94,0,3.44,ZA,1691446267
40,stanley,54.868,-1.6985,55.27,85,0,9.22,GB,1691446434
41,waitangi,-43.9535,-176.5597,48.81,95,100,1.99,NZ,1691446396
42,tazacorte,28.629,-17.9293,74.37,85,20,4.61,ES,1691446475
43,margaret river,-33.95,115.0667,59.56,88,98,21.94,AU,1691446475
44,remire-montjoly,4.9167,-52.2667,82.44,83,57,8.05,GF,1691446475
45,villanueva del trabuco,37.0479,-4.3221,71.17,90,24,8.23,ES,1691446475
46,port-aux-francais,-49.35,70.2167,38.48,81,100,36.35,TF,1691446245
47,biratnagar,26.4831,87.2834,78.75,94,100,4.47,NP,1691446427
48,east london,-33.0153,27.9116,64.13,85,24,15.12,ZA,1691446475
49,raja,8.4596,25.678,69.03,97,28,4.03,SS,1691446475
50,smithers,54.7804,-127.1743,77.32,38,75,6.91,CA,1691446475
51,uturoa,-16.7333,-151.4333,78.35,76,90,6.98,PF,1691446417
52,ibarreta,-25.2144,-59.8585,72.86,63,73,13.27,AR,1691446475
53,vilyuchinsk,52.9306,158.4028,61.07,70,0,8.39,RU,1691446475
54,laminusa,5.5549,120.9136,82.35,78,62,7.63,PH,1691446475
55,bengkulu,-3.8004,102.2655,73.9,92,36,4.83,ID,1691446475
56,albany,42.6001,-73.9662,75.22,89,100,4.0,US,1691446437
57,sterling,39.0062,-77.4286,74.55,89,100,10.0,US,1691446250
58,aqadyr,48.2553,72.8483,64.89,68,88,5.23,KZ,1691446475
59,port alfred,-33.5906,26.891,59.18,94,6,12.77,ZA,1691446475
60,la passe,45.5549,-0.8967,64.98,76,2,8.52,FR,1691446476
61,luderitz,-26.6481,15.1594,59.09,73,0,15.86,NA,1691446476
62,hammerfest,70.6634,23.6821,61.25,88,75,8.05,NO,1691446476
63,puerto aysen,-45.4,-72.7,40.77,98,100,0.51,CL,1691446476
64,palembang,-2.9167,104.7458,77.09,100,20,3.44,ID,1691446476
